##,#######################################################,##
##,                                                       ,##
##,                 TSL MAT numbers                       ,##
##, associated with the ENDF/B-VIII.1-BetaX release       ,##
##,                                                       ,##
##, Note: empty file field means MAT number is reserved.  ,##
##,                                                       ,##
##,                                                       ,##
##,#######################################################,##
##,                                                       ,  
##  MAT number, ENDF-6 file name                ,    Description                                            
##            ,                                 ,                                                           
        3021  ,                                 ,    Si in SiO2-beta               
        3022  ,                                 ,    O in SiO2-beta                
        3031  , tsl-7Liin7LiH-mixed.endf        ,    7Li in 7LiH-mixed             
        3032  , tsl-Hin7LiH-mixed.endf          ,    H in 7LiH-mixed               
        3034  , tsl-7Liin7LiD-mixed.endf        ,    7Li in 7LiD-mixed             
        3035  , tsl-Din7LiD-mixed.endf          ,    D in 7LiD-mixed               
        3037  ,                                 ,    Mg in MgH2                    
        3038  ,                                 ,    H in MgH2                     
        3042  ,                                 ,    Mg in MgD2                    
        3043  ,                                 ,    D in MgD2                     
        3047  , tsl-FinHF.endf                  ,    F in HF                       
        3048  , tsl-HinHF.endf                  ,    H in HF                       
        3052  , tsl-AlinAl2O3.endf              ,    Al in Al2O3                   
        3053  , tsl-OinAl2O3.endf               ,    O in Al2O3                    
        3060  ,                                 ,    Pb in PbF2                    
        3061  ,                                 ,    F in PbF2                     
        3066  ,                                 ,    Sr in SrF2                    
        3067  ,                                 ,    F in SrF2                     
        3071  ,                                 ,    Zn in ZnF2                    
        3072  ,                                 ,    F in ZnF2                     
        3076  ,                                 ,    Ba in BaF2                    
        3077  ,                                 ,    F in BaF2                     
        3081  ,                                 ,    Sr in SrH2                    
        3082  ,                                 ,    H in SrH2                     
        3086  ,                                 ,    O in Li2O                     
        3087  ,                                 ,    Li in Li2O                    
        3091  ,                                 ,    Th in ThO2                    
        3092  ,                                 ,    O in ThO2                     
        3096  ,                                 ,    Ca in CaF2                    
        3097  ,                                 ,    F in CaF2                     
        3111  ,                                 ,    Ti in TiO2-anatase            
        3112  ,                                 ,    O in TiO2-anatase             
        3116  ,                                 ,    Ti in TiO2-rutile             
        3117  ,                                 ,    O in TiO2-rutile              
        3126  ,                                 ,    Ce in CeO2                    
        3127  ,                                 ,    O in CeO2                     
        3131  ,                                 ,    Zr in ZrO2                    
        3132  ,                                 ,    O in ZrO2                     
        3136  , tsl-FinBeF2.endf                ,    F in BeF2
        3137  , tsl-BeinBeF2.endf               ,    Be in BeF2
        3141  , tsl-MginMgF2.endf               ,    Mg in MgF2
        3142  , tsl-FinMgF2.endf                ,    F in MgF2
        3146  , tsl-MginMgO.endf                ,    Mg in MgO
        3147  , tsl-OinMgO.endf                 ,    O in MgO
        3209  ,                                 ,    N in Li3N                     
        3210  ,                                 ,    Li in Li3N                    
        3222  ,                                 ,    Zr in ZrF4                    
        3223  ,                                 ,    F in ZrF4                     
        3229  ,                                 ,    Ho in Ho2O3                   
        3230  ,                                 ,    O in Ho2O3                    
        3247  ,                                 ,    Bi in Bi2O3                   
        3248  ,                                 ,    O in Bi2O3                    
        3255  ,                                 ,    La in La2O3                   
        3256  ,                                 ,    O in La2O3                    
        3263  ,                                 ,    Lu in Lu2O3                   
        3264  ,                                 ,    O in Lu2O3                    
        3271  ,                                 ,    N in Be3N2                    
        3272  ,                                 ,    Be in Be3N2                   
        3279  ,                                 ,    Nd in Nd2O3                   
        3280  ,                                 ,    O in Nd2O3                    
        3287  ,                                 ,    P in P2O5                     
        3288  ,                                 ,    O in P2O5                     
        3297  ,                                 ,    Pb in Pb3O4                   
        3298  ,                                 ,    O in Pb3O4                    
        3307  ,                                 ,    Dy in Dy2O3                   
        3308  ,                                 ,    O in Dy2O3                    
        3315  ,                                 ,    Tm in Tm2O3                   
        3316  ,                                 ,    O in Tm2O3                    
        3323  ,                                 ,    Y in Y2O3                     
        3324  ,                                 ,    O in Y2O3                     
        3331  ,                                 ,    Th in Th3N4                   
        3332  ,                                 ,    N in Th3N4                    
        3341  ,                                 ,    Cu in Cu2O                    
        3342  ,                                 ,    O in Cu2O                     
        3346  ,                                 ,    La in LaBr3                   
        3347  ,                                 ,    Br in LaBr3                   
        3364  ,                                 ,    Ca in CaO                     
        3365  ,                                 ,    O in CaO                      
        3367  ,                                 ,    Ag in AgBr                    
        3368  ,                                 ,    Br in AgBr                    
        3370  ,                                 ,    Al in AlN                     
        3371  ,                                 ,    N in AlN                      
        3373  ,                                 ,    Br in NaBr                    
        3374  ,                                 ,    Na in NaBr                    
        3382  ,                                 ,    Br in KBr                     
        3383  ,                                 ,    K in KBr                      
        3385  ,                                 ,    Cl in NaCl                    
        3386  ,                                 ,    Na in NaCl                    
        3388  ,                                 ,    Tl in TlBr                    
        3389  ,                                 ,    Br in TlBr                    
        3394  ,                                 ,    F in LiF                      
        3395  ,                                 ,    Li in LiF                     
        3397  ,                                 ,    Na in NaF                     
        3398  ,                                 ,    F in NaF                      
        3400  ,                                 ,    Ga in GaN                     
        3401  ,                                 ,    N in GaN                      
        3403  ,                                 ,    Se in GaSe                    
        3404  ,                                 ,    Ga in GaSe                    
