n-000_n_001
n-001_H_001
n-001_H_002
n-001_H_003
n-002_He_003
n-002_He_004
n-003_Li_006
n-003_Li_007
n-004_Be_007
n-004_Be_009
n-005_B_010
n-005_B_011
n-006_C_012
n-006_C_013
n-007_N_014
n-007_N_015
n-008_O_016
n-008_O_017
n-008_O_018
n-009_F_019
n-010_Ne_020
n-010_Ne_021
n-010_Ne_022
n-011_Na_022
n-011_Na_023
n-012_Mg_024
n-012_Mg_025
n-012_Mg_026
n-013_Al_026m1
n-013_Al_027
n-014_Si_028
n-014_Si_029
n-014_Si_030
n-014_Si_031
n-014_Si_032
n-015_P_031
n-016_S_032
n-016_S_033
n-016_S_034
n-016_S_035
n-016_S_036
n-017_Cl_035
n-017_Cl_036
n-017_Cl_037
n-018_Ar_036
n-018_Ar_037
n-018_Ar_038
n-018_Ar_039
n-018_Ar_040
n-018_Ar_041
n-019_K_039
n-019_K_040
n-019_K_041
n-020_Ca_040
n-020_Ca_041
n-020_Ca_042
n-020_Ca_043
n-020_Ca_044
n-020_Ca_045
n-020_Ca_046
n-020_Ca_047
n-020_Ca_048
n-021_Sc_045
n-022_Ti_046
n-022_Ti_047
n-022_Ti_048
n-022_Ti_049
n-022_Ti_050
n-023_V_049
n-023_V_050
n-023_V_051
n-024_Cr_050
n-024_Cr_051
n-024_Cr_052
n-024_Cr_053
n-024_Cr_054
n-025_Mn_054
n-025_Mn_055
n-026_Fe_054
n-026_Fe_055
n-026_Fe_056
n-026_Fe_057
n-026_Fe_058
n-027_Co_058
n-027_Co_058m1
n-027_Co_059
n-028_Ni_058
n-028_Ni_059
n-028_Ni_060
n-028_Ni_061
n-028_Ni_062
n-028_Ni_063
n-028_Ni_064
n-029_Cu_063
n-029_Cu_064
n-029_Cu_065
n-030_Zn_064
n-030_Zn_065
n-030_Zn_066
n-030_Zn_067
n-030_Zn_068
n-030_Zn_069
n-030_Zn_070
n-031_Ga_069
n-031_Ga_070
n-031_Ga_071
n-032_Ge_070
n-032_Ge_071
n-032_Ge_072
n-032_Ge_073
n-032_Ge_074
n-032_Ge_075
n-032_Ge_076
n-033_As_073
n-033_As_074
n-033_As_075
n-034_Se_074
n-034_Se_075
n-034_Se_076
n-034_Se_077
n-034_Se_078
n-034_Se_079
n-034_Se_080
n-034_Se_081
n-034_Se_082
n-035_Br_079
n-035_Br_080
n-035_Br_081
n-036_Kr_078
n-036_Kr_079
n-036_Kr_080
n-036_Kr_081
n-036_Kr_082
n-036_Kr_083
n-036_Kr_084
n-036_Kr_085
n-036_Kr_086
n-037_Rb_085
n-037_Rb_086
n-037_Rb_087
n-038_Sr_084
n-038_Sr_085
n-038_Sr_086
n-038_Sr_087
n-038_Sr_088
n-038_Sr_089
n-038_Sr_090
n-039_Y_089
n-039_Y_090
n-039_Y_091
n-040_Zr_090
n-040_Zr_091
n-040_Zr_092
n-040_Zr_093
n-040_Zr_094
n-040_Zr_095
n-040_Zr_096
n-041_Nb_093
n-041_Nb_094
n-041_Nb_095
n-042_Mo_092
n-042_Mo_093
n-042_Mo_094
