g-001_H_002
g-002_He_003
g-003_Li_006
g-003_Li_007
g-004_Be_009
g-006_C_012
g-006_C_013
g-006_C_014
g-007_N_014
g-007_N_015
g-008_O_016
g-008_O_017
g-008_O_018
g-009_F_019
g-011_Na_023
g-012_Mg_024
g-012_Mg_025
g-012_Mg_026
g-013_Al_027
g-014_Si_027
g-014_Si_028
g-014_Si_029
g-014_Si_030
g-016_S_032
g-016_S_033
g-016_S_034
g-016_S_036
g-017_Cl_035
g-017_Cl_037
g-018_Ar_036
g-018_Ar_038
g-018_Ar_040
g-019_K_039
g-019_K_040
g-019_K_041
g-020_Ca_040
g-020_Ca_042
g-020_Ca_043
g-020_Ca_044
g-020_Ca_046
g-020_Ca_048
g-021_Sc_045
g-022_Ti_046
g-022_Ti_047
g-022_Ti_048
g-022_Ti_049
g-022_Ti_050
g-023_V_050
g-023_V_051
g-024_Cr_050
g-024_Cr_052
g-024_Cr_053
g-024_Cr_054
g-025_Mn_055
g-026_Fe_054
g-026_Fe_056
g-026_Fe_057
g-026_Fe_058
g-027_Co_059
g-028_Ni_058
g-028_Ni_060
g-028_Ni_061
g-028_Ni_062
g-028_Ni_064
g-029_Cu_063
g-029_Cu_065
g-030_Zn_064
g-030_Zn_066
g-030_Zn_067
g-030_Zn_068
g-030_Zn_070
g-032_Ge_070
g-032_Ge_072
g-032_Ge_073
g-032_Ge_074
g-032_Ge_076
g-033_As_075
g-034_Se_076
g-034_Se_078
g-034_Se_080
g-034_Se_082
g-038_Sr_084
g-038_Sr_086
g-038_Sr_087
g-038_Sr_088
g-038_Sr_090
g-039_Y_089
g-040_Zr_090
g-040_Zr_091
g-040_Zr_092
g-040_Zr_093
g-040_Zr_094
g-040_Zr_096
g-041_Nb_093
g-041_Nb_094
g-042_Mo_092
g-042_Mo_094
g-042_Mo_095
g-042_Mo_096
g-042_Mo_097
g-042_Mo_098
g-042_Mo_100
g-044_Ru_098
g-045_Rh_103
g-046_Pd_102
g-046_Pd_104
g-046_Pd_105
g-046_Pd_106
g-046_Pd_107
g-046_Pd_108
g-046_Pd_110
g-047_Ag_107
g-047_Ag_108
g-047_Ag_109
g-048_Cd_106
g-048_Cd_108
g-048_Cd_110
g-048_Cd_111
g-048_Cd_112
g-048_Cd_113
g-048_Cd_114
g-048_Cd_116
g-049_In_115
g-050_Sn_112
g-050_Sn_114
g-050_Sn_115
g-050_Sn_116
g-050_Sn_117
g-050_Sn_118
g-050_Sn_119
g-050_Sn_120
g-050_Sn_122
g-050_Sn_124
g-051_Sb_121
g-051_Sb_123
g-052_Te_120
g-052_Te_122
g-052_Te_123
g-052_Te_124
g-052_Te_125
g-052_Te_126
g-052_Te_128
g-052_Te_130
g-053_I_127
g-053_I_129
g-054_Xe_132
g-055_Cs_133
g-055_Cs_135
g-055_Cs_137
g-056_Ba_138
g-057_La_139
g-058_Ce_140
g-058_Ce_142
g-059_Pr_141
g-060_Nd_142
g-060_Nd_143
g-060_Nd_144
g-060_Nd_145
g-060_Nd_146
g-060_Nd_148
g-060_Nd_150
g-062_Sm_144
g-062_Sm_147
g-062_Sm_148
g-062_Sm_149
g-062_Sm_150
g-062_Sm_151
g-062_Sm_152
g-062_Sm_154
g-063_Eu_153
g-064_Gd_156
g-064_Gd_157
g-064_Gd_158
g-064_Gd_160
g-065_Tb_158
g-065_Tb_159
g-066_Dy_162
g-066_Dy_163
g-067_Ho_165
g-068_Er_166
g-068_Er_170
g-069_Tm_169
g-071_Lu_175
g-072_Hf_174
g-072_Hf_176
g-072_Hf_177
g-072_Hf_178
g-072_Hf_179
g-072_Hf_180
g-073_Ta_181
g-074_W_180
g-074_W_182
g-074_W_183
g-074_W_184
g-074_W_186
g-075_Re_185
g-075_Re_187
g-076_Os_186
g-076_Os_188
g-076_Os_189
g-076_Os_190
g-076_Os_192
g-078_Pt_194
g-079_Au_197
g-082_Pb_206
g-082_Pb_207
g-082_Pb_208
g-083_Bi_209
g-088_Ra_226
g-090_Th_232
g-092_U_233
g-092_U_234
g-092_U_235
g-092_U_236
g-092_U_238
g-093_Np_237
g-094_Pu_238
g-094_Pu_239
g-094_Pu_240
g-094_Pu_241
g-094_Pu_242
g-095_Am_241
